id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
49738092,South Kohala,Hawaii,19.92905,-155.87541,POINT (-155.87541 19.92905)
49738621,North Shore Kauai,Kauai,22.21812,-159.48647,POINT (-159.48647 22.21812)
49738861,Koolauloa,Honolulu,21.67217,-157.93835,POINT (-157.93835 21.67217)
49750623,Koloa-Poipu,Kauai,21.88466,-159.46564,POINT (-159.46564 21.88466)
49751657,Ewa,Honolulu,21.32999,-158.12065,POINT (-158.12065 21.32999)
49751827,Ewa,Honolulu,21.32847,-158.12061,POINT (-158.12061 21.32847)
49751898,Ewa,Honolulu,21.33,-158.12047,POINT (-158.12047 21.33)
49801028,Primary Urban Center,Honolulu,21.2843,-157.83579,POINT (-157.83579 21.2843)
49901481,Koloa-Poipu,Kauai,21.88551,-159.45743,POINT (-159.45743 21.88551)
49801799,North Kona,Hawaii,19.64307,-155.95971,POINT (-155.95971 19.64307)
49811148,Primary Urban Center,Honolulu,21.274725,-157.820938,POINT (-157.820938 21.274725)
49751944,Lahaina,Maui,20.91663,-156.69443,POINT (-156.69443 20.91663)
49751988,Lahaina,Maui,20.91465,-156.69509,POINT (-156.69509 20.91465)
49901534,North Shore Kauai,Kauai,22.22445,-159.48057,POINT (-159.48057 22.22445)
49902198,North Shore Kauai,Kauai,22.22481,-159.48228,POINT (-159.48228 22.22481)
49903004,Puna,Hawaii,19.45771,-154.89989,POINT (-154.89989 19.45771)
49753589,South Kohala,Hawaii,19.92644,-155.87693,POINT (-155.87693 19.92644)
49754090,Kihei-Makena,Maui,20.74925,-156.45583,POINT (-156.45583 20.74925)
49813818,Kau,Hawaii,19.0878,-155.77727,POINT (-155.77727 19.0878)
49903231,Puna,Hawaii,19.426144,-155.232803,POINT (-155.232803 19.426144)
49813939,Primary Urban Center,Honolulu,21.27517,-157.81984,POINT (-157.81984 21.27517)
49754239,Kihei-Makena,Maui,20.747835,-156.457947,POINT (-156.457947 20.747835)
49756779,Koloa-Poipu,Kauai,21.88285,-159.47524,POINT (-159.47524 21.88285)
49903716,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49903910,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49757408,Koloa-Poipu,Kauai,21.88263,-159.47687,POINT (-159.47687 21.88263)
49758507,North Kona,Hawaii,19.57344,-155.96368,POINT (-155.96368 19.57344)
49814938,Primary Urban Center,Honolulu,21.31021543393676,-157.8615934506189,POINT (-157.8615934506189 21.31021543393676)
49904207,Puna,Hawaii,19.426144,-155.232803,POINT (-155.232803 19.426144)
49904599,South Hilo,Hawaii,19.7186,-155.07606,POINT (-155.07606 19.7186)
49815389,Kau,Hawaii,19.08625,-155.77735,POINT (-155.77735 19.08625)
49815505,Kau,Hawaii,19.08788,-155.7756,POINT (-155.7756 19.08788)
49815565,Kau,Hawaii,19.08845,-155.7759,POINT (-155.7759 19.08845)
49818465,Primary Urban Center,Honolulu,21.28837,-157.83947,POINT (-157.83947 21.28837)
49759724,Makawao-Pukalani-Kula,Maui,20.83854,-156.3368,POINT (-156.3368 20.83854)
