id,date
2613201,2012-10-15
2647616,2012-10-18
2720278,2012-10-26
2747314,2012-10-29
3568844,2013-02-18
9889567,2014-01-17
15747292,2014-07-15
19764926,2014-09-17
21003565,2014-10-09
22435251,2014-11-06
23214498,2014-11-25
24494592,2014-12-29
24964784,2015-01-04
25266085,2015-01-11
25382686,2015-01-14
25593387,2015-01-20
26335529,2015-02-09
26632591,2015-02-16
26794841,2015-02-19
27398306,2015-03-03
27802184,2015-03-12
27850829,2015-03-13
28166372,2015-03-19
28396007,2015-03-23
28561822,2015-03-26
29609526,2015-04-10
30357614,2015-04-20
30387835,2015-04-21
31770637,2015-05-10
32061758,2015-05-13
32117388,2015-05-14
33512780,2015-05-29
33968757,2015-06-02
35214855,2015-06-16
35554468,2015-06-20
36022306,2015-06-24
36269703,2015-06-27
36668541,2015-06-30
37141915,2015-07-05
37464943,2015-07-07
37649849,2015-07-09
38258194,2015-07-14
38833169,2015-07-19
39291352,2015-07-22
39612572,2015-07-25
39926678,2015-07-27
41066184,2015-08-04
41364608,2015-08-07
41752749,2015-08-09
42707978,2015-08-15
44316495,2015-08-25
45102126,2015-08-31
45953666,2015-09-07
48163897,2015-09-24
49598551,2015-10-05
49907901,2015-10-07
50165898,2015-10-10
50627859,2015-10-13
51718232,2015-10-24
52062418,2015-10-26
52321993,2015-10-28
52421511,2015-10-29
53463432,2015-11-09
53961073,2015-11-15
54788311,2015-11-23
472163729,2019-06-19
54988317,2015-11-27
55394687,2015-12-01
55942223,2015-12-07
56236513,2015-12-11
56483271,2015-12-14
491422605,2019-07-20
493163544,2019-07-22
511108025,2019-08-17
520850453,2019-08-31
535418392,2019-09-24
536705922,2019-09-27
548279350,2019-10-17
554360696,2019-10-26
628743831,2020-06-10
640360489,2020-07-20
642640577,2020-07-26
666685443,2020-09-21
712587435,2020-11-30
735153829,2021-02-28
764635213,2021-05-31
480902007660664193,2021-10-25
592582327051413251,2022-03-28
651866255,2020-08-16
59278562,2016-01-09
59573618,2016-01-12
59704008,2016-01-14
60004137,2016-01-18
60765659,2016-01-27
60912667,2016-01-29
61168054,2016-02-01
61375350,2016-02-03
61439175,2016-02-04
61799938,2016-02-08
62073062,2016-02-11
62817986,2016-02-17
63077213,2016-02-20
63715340,2016-02-26
65152845,2016-03-11
65811006,2016-03-17
68969403,2016-04-08
70766106,2016-04-20
72804162,2016-05-04
75050196,2016-05-18
76579129,2016-05-28
2822493,2012-11-07
2950603,2012-11-24
3020541,2012-12-03
3059472,2012-12-11
3102725,2012-12-17
3131283,2012-12-21
3288901,2013-01-06
3395014,2013-01-22
3421224,2013-01-27
3444962,2013-01-30
3459976,2013-02-02
3499074,2013-02-08
655242985,2020-08-23
81080380,2016-06-20
81709189,2016-06-24
84615779,2016-07-08
86059225,2016-07-14
87043602,2016-07-18
89384339,2016-07-28
89839520,2016-07-30
96701418,2016-08-24
99456743,2016-09-04
100671263,2016-09-10
105228350,2016-09-30
106248873,2016-10-05
108465506,2016-10-16
109101247,2016-10-19
109701581,2016-10-23
110252787,2016-10-25
658160372,2020-08-30
427225620634292467,2021-08-12
437477377433041408,2021-08-26
439546301368614631,2021-08-29
449733753629488690,2021-09-12
470067767575127317,2021-10-10
487446058395914754,2021-11-03
